id,jokeText,jokeType
1,"Why don't scientists trust atoms? Because they make up everything.",Science
2,"Why did the scarecrow win an award? Because he was outstanding in his field.",Puns
3,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
4,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
5,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
6,"How do you organize a space party? You planet!",Science
7,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
8,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
9,"What do you call fake spaghetti? An impasta!",Food
10,"Why did the tomato turn red? Because it saw the salad dressing!",Food
11,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
12,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
13,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
14,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
15,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
16,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
17,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
18,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
19,"How do you organize a space party? You planet!",Science
20,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
21,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
22,"What do you call fake spaghetti? An impasta!",Food
23,"Why did the tomato turn red? Because it saw the salad dressing!",Food
24,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
25,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
26,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
27,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
28,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
29,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
30,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
31,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
32,"How do you organize a space party? You planet!",Science
33,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
34,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
35,"What do you call fake spaghetti? An impasta!",Food
36,"Why did the tomato turn red? Because it saw the salad dressing!",Food
37,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
38,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
39,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
40,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
41,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
42,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
43,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
44,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
45,"How do you organize a space party? You planet!",Science
46,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
47,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
48,"What do you call fake spaghetti? An impasta!",Food
49,"Why did the tomato turn red? Because it saw the salad dressing!",Food
50,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
51,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
52,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
53,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
54,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
55,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
56,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
57,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
58,"How do you organize a space party? You planet!",Science
59,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
60,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
61,"What do you call fake spaghetti? An impasta!",Food
62,"Why did the tomato turn red? Because it saw the salad dressing!",Food
63,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
64,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
65,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
66,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
67,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
68,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
69,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
70,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
71,"How do you organize a space party? You planet!",Science
72,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
73,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
74,"What do you call fake spaghetti? An impasta!",Food
75,"Why did the tomato turn red? Because it saw the salad dressing!",Food
76,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
77,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
78,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
79,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
80,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
81,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
82,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
83,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
84,"How do you organize a space party? You planet!",Science
85,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
86,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
87,"What do you call fake spaghetti? An impasta!",Food
88,"Why did the tomato turn red? Because it saw the salad dressing!",Food
89,"What do you get when you cross a snowman and a vampire? Frostbite!",Wordplay
90,"Why did the golfer bring two pairs of pants? In case he got a hole in one!",Sports
91,"Why are ghosts bad at lying? Because you can see right through them!",Wordplay
92,"Why can't you give Elsa a balloon? Because she will let it go.",Movies
93,"I'm reading a book about anti-gravity. It's impossible to put down!",Science
94,"I told my wife she was drawing her eyebrows too high. She looked surprised.",Puns
95,"What did one ocean say to the other ocean? Nothing, they just waved.",Wordplay
96,"Why do we never tell secrets on a farm? Because the potatoes have eyes and the corn has ears.",Wordplay
97,"How do you organize a space party? You planet!",Science
98,"Why don't some couples go to the gym? Because some relationships don't work out.",Puns
99,"Parallel lines have so much in common. It's a shame they'll never meet.",Math
100,"What do you call fake spaghetti? An impasta!",Food
